Well,C-Source
A1,No carbon
A2,L-arabinose
A3,N-acetyl-D-glucosamine
A4,D-saccharic acid
A5,Succinic acid
A6,D-Galactose
A7,L-aspartic acid
A8,L-proline
A9,D-alanine
A10,D-trehalose
A11,D-mannose
A12,Dulcitol
B1,D-serine
B2,D-sorbitol
B3,Glycerol
B4,L-Fucose
B5,D-Glucoronic acid
B6,D-Gluconic acid
B7,D-L a-glycerol phosphate
B8,D-xylose
B9,L-lactic acid
B10,Formic acid
B11,D-Mannitol
B12,L-Glutamic acid
C1,D-Glucose-6-phosphate
C2,D-Galactonic acid - D-lactone
C3,D- L- malic acid
C4,D-Ribose
C5,Tween20
C6,L-Rhamnose
C7,D-Fructose
C8,Acetic acid
C9,a-D-glucose
C10,Maltose
C11,D-Melibiose
C12,Thymidine
D1,L-Asparigine
D2,D-Aspartic acid
D3,D-Glucosaminic acid
D4,1-2-Propanediol
D5,Tween40
D6,a-Keto glutaric acid
D7,a-Keto butyric acid
D8,a-Methyl-d-Galactoside
D9,a-D-Lactose
D10,Lactulose
D11,Sucrose
D12,Uridine
E1,L-Glutamine
E2,m-Tartaric acid
E3,D-Glucose-1-Phosphate
E4,D-Fructose-6-Phosphate
E5,Tween80
E6,a-Hydroxy Glutaric Acid-g-Lactone
E7,a-Hydroxy Butyric Acid
E8,b-Methyl-D-Glucoside
E9,Adonitol
E10,Maltotriose
E11,2-Deoxy Adenosine
E12,Adenosine
F1,Glycyl-L-Aspartic Acid
F2,Citric Acid
F3,m-Inositol
F4,D-Threonine
F5,Fumaric Acid
F6,Bromo Succinic Acid
F7,Propionic Acid
F8,Muric Acid
F9,Glycolic Acid
F10,Glyoxylic Acid
F11,D-Cellobiose
F12,Inosine
G1,Glycyl-L glutamic acid
G2,Tricarbalylic acid
G3,L-Serine
G4,L-Threonine
G5,L-Alanine
G6,L-Alanyl-Glycine
G7,Acetoacetic Acid
G8,N-Acetyl-b-D-Mannosamine
G9,Mono Methyl Succinate
G10,Methyl Pyruvate
G11,D-Malic Acid
G12,L-Malic Acid
H1,Glycyl-L-Proline
H2,p-Hydroxy Phenyl Acetic Acid
H3,m-Hydroxy Phenyl Acetic Acid
H4,Tyranmine
H5,D-Psicose
H6,L-Lyxose
H7,Glucoronamide
H8,Pyruvic Acid
H9,L-Galactonic Acid-g-Lactone
H10,D-Galacturonic Acid
H11,Phenyleyhlamine
H12,2-Aminoethanol
